batch_id,batch_name
BtechcsefyA12022,Btechcse
BtechcsefyA22022,Btechcse
BtechcsesyA12022,Btechcse
BtechcsesyA22022,Btechcse
BtechcsetyAI2022,Btechcse
BtechcsetyDS2022,Btechcse
BtechcsetyCS2022,Btechcse
BtechcsefryAI2022,Btechcse
BtechcsefryDS2022,Btechcse
BtechcsefryCS2022,Btechcse
BtechcsefryRB2022,Btechcse
BCAfy2022,BCA
BCAsy2022,BCA
BCAtyCC2022,BCA
BCAtyMC2022,BCA
MCAAI&DS2022,MCA
MCACS2022,MCA
BAJMCfy2022,BAJMC
BAJMCsy2022,BAJMC
BAJMCtyJN2022,BAJMC
BAJMCtyAPR2022,BAJMC
BAJMCtyMP2022,BAJMC
BDfy2022,BDes
BDsy2022,BDes
BDtyGD2022,BDes
BDtyUX2022,BDes
BDfryGD2022,BDes
BDfryUX2022,BDes
BDfry2022,Btechbio
Btechbioengfy2022,Btechbio
Btechbioengsy2022,Btechbio
Btechbioengty2022,Btechbio